code,pop,temp,hatch,exp.date,grow.date,alive,rem.oysters,cal.length.start,cal.length.end,cal.length,wt,ran.out,bin,oce
1311,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.573,2.17,0.597,0.0019,0,1,a
1312,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.466,2.3,0.834,0.0018,0,1,a
1313,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.42,2.54,1.12,0.0025,0,1,a
1321,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,n,y,1.523,,,,0,2,a
1322,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.487,2.84,1.353,0.0028,0,2,a
1323,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.321,1.44,0.119,0.0003,0,2,a
1331,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.489,2.79,1.301,0.0024,0,3,a
1332,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,y,y,1.326,2.27,0.944,0.0016,0,3,a
1333,New Hampshire,16,8/1/2019,8/1/2019,8/25/2019,n,y,1.511,,,,0,3,a
1611,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.777,3.49,1.713,0.0048,0,1,a
1612,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.519,2.12,0.601,0.0012,0,1,a
1613,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,n,n,1.779,,,,0,1,a
1621,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.502,2.47,0.968,0.0019,0,2,a
1622,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.957,3.7,1.743,0.0051,0,2,a
1623,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.106,2.13,1.024,0.0014,0,2,a
1631,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.382,2.69,1.308,0.0024,0,3,a
1632,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.773,2.97,1.197,0.0036,0,3,a
1633,North Carolina,16,7/29/2019,7/29/2019,8/22/2019,y,y,1.367,2.96,1.593,0.0024,0,3,a
1811,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.495,2.26,0.765,0.0017,0,1,a
1812,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.816,2.98,1.164,0.0032,0,1,a
1813,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.725,3.05,1.325,0.0033,0,1,a
1821,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.918,3.19,1.272,0.0034,0,2,a
1822,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.932,3.7,1.768,0.0052,0,2,a
1823,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.68,2.28,0.6,0.0017,0,2,a
1831,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.581,2.86,1.279,0.0034,0,3,a
1832,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.67,2.42,0.75,0.0026,0,3,a
1833,Georgia,16,7/30/2019,7/30/2019,8/23/2019,y,y,1.507,2.31,0.803,0.002,0,3,a
2311,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.333,4.46,3.127,0.0075,0,1,a
2312,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.305,4.68,3.375,0.109,0,1,a
2313,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.769,4.94,3.171,0.0117,0,1,a
2321,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.98,5.38,3.4,0.0152,0,2,a
2322,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,n,y,1.622,,,,0,2,a
2323,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.504,4.88,3.376,0.0105,0,2,a
2331,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.628,4.95,3.322,0.0109,0,3,a
2332,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.575,5.36,3.785,0.014,0,3,a
2333,New Hampshire,20,8/1/2019,8/1/2019,8/25/2019,y,y,1.676,4.98,3.304,0.0119,0,3,a
2611,North Carolina,20,7/29/2019,8/6/2019,8/30/2019,y,y,1.44,3.92,2.48,0.0071,0,1,a
2612,North Carolina,20,7/29/2019,7/29/2019,8/22/2019,y,y,1.438,4.33,2.892,0.0068,0,1,a
2613,North Carolina,20,7/29/2019,7/29/2019,8/22/2019,y,y,1.473,4.65,3.177,0.0086,0,1,a
2621,North Carolina,20,7/29/2019,8/9/2019,9/2/2019,n,,1.601,,,,0,2,a
2622,North Carolina,20,7/29/2019,8/6/2019,8/30/2019,y,y,1.622,3.43,1.808,0.005,0,2,a
2623,North Carolina,20,7/29/2019,7/29/2019,8/22/2019,y,y,1.475,4.15,2.675,0.0056,0,2,a
2631,North Carolina,20,7/29/2019,7/29/2019,8/22/2019,y,y,1.47,4.19,2.72,0.0072,0,3,a
2632,North Carolina,20,7/29/2019,7/29/2019,8/22/2019,y,y,1.678,3.87,2.192,0.0049,0,3,a
2633,North Carolina,20,7/29/2019,7/29/2019,8/22/2019,y,y,1.301,3.49,2.189,0.0041,0,3,a
2811,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.518,4.29,2.772,0.0096,0,1,a
2812,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.258,3.47,2.212,0.0045,0,1,a
2813,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.872,4.77,2.898,0.0121,0,1,a
2821,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.431,3.75,2.319,0.0057,0,2,a
2822,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.426,4.1,2.674,0.0078,0,2,a
2823,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.569,4.67,3.101,0.0106,0,2,a
2831,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.778,4.13,2.352,0.0092,0,3,a
2832,Georgia,20,7/30/2019,8/7/2019,8/31/2019,y,y,2.177,4.69,2.513,0.0129,0,3,a
2833,Georgia,20,7/30/2019,7/30/2019,8/23/2019,y,y,1.44,4.99,3.55,0.0129,0,3,a
3311,New Hampshire,24,8/1/2019,8/8/2019,9/1/2019,y,y,1.483,4.68,3.197,0.0107,0,1,a
3312,New Hampshire,24,8/1/2019,8/8/2019,9/1/2019,y,y,1.694,4.91,3.216,0.0146,0,1,a
3313,New Hampshire,24,8/1/2019,8/8/2019,9/1/2019,y,y,1.907,6.09,4.183,0.0237,0,1,a
3321,New Hampshire,24,8/1/2019,8/8/2019,9/1/2019,y,y,1.079,3.25,2.171,0.0035,0,2,a
3322,New Hampshire,24,8/1/2019,8/8/2019,9/1/2019,y,y,1.321,5.31,3.989,0.0172,0,2,a
3323,New Hampshire,24,8/1/2019,8/8/2019,9/1/2019,y,y,1.383,4.57,3.187,0.0113,0,2,a
3331,New Hampshire,24,8/1/2019,8/1/2019,8/25/2019,y,y,1.357,5.51,4.153,0.0147,0,3,a
3332,New Hampshire,24,8/1/2019,8/1/2019,8/25/2019,y,y,1.468,4.72,3.252,0.0132,0,3,a
3333,New Hampshire,24,8/1/2019,8/1/2019,8/25/2019,y,y,1.191,5.18,3.989,0.015,0,3,a
3611,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.626,5.73,4.104,0.0164,0,1,a
3612,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.345,4.9,3.555,0.0117,0,1,a
3613,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,n,,1.457,,,,0,1,a
3621,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.599,5.1,3.501,0.151,0,2,a
3622,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.666,4.9,3.234,0.0124,0,2,a
3623,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.594,5.4,3.806,0.0135,0,2,a
3631,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.363,5.8,4.437,0.017,0,3,a
3632,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.492,5,3.508,0.0115,0,3,a
3633,North Carolina,24,7/29/2019,7/29/2019,8/22/2019,y,y,1.499,5.4,3.901,0.015,0,3,a
3811,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,1.812,5.13,3.318,0.0148,0,1,a
3812,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,1.901,5.19,3.289,0.0155,0,1,a
3813,Georgia,24,7/30/2019,8/7/2019,8/31/2019,y,y,1.976,5.33,3.354,0.0172,0,1,a
3821,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,1.476,5.76,4.284,0.017,1,2,a
3822,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,2.157,5.07,2.913,0.0129,0,2,a
3823,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,1.837,5.37,3.533,0.0169,0,2,a
3831,Georgia,24,7/30/2019,8/7/2019,8/31/2019,n,,1.773,,,,0,3,a
3832,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,1.743,4.81,3.067,0.0112,0,3,a
3833,Georgia,24,7/30/2019,7/30/2019,8/23/2019,y,y,1.446,5.13,3.684,0.0141,0,3,a
4311,New Hampshire,26,8/1/2019,8/3/2019,8/27/2019,y,y,1.68,6.64,4.96,0.028,0,1,a
4312,New Hampshire,26,8/1/2019,8/3/2019,8/27/2019,y,y,1.712,5.98,4.268,0.022,0,1,a
4313,New Hampshire,26,8/1/2019,8/3/2019,8/27/2019,n,,1.608,,,,0,1,a
4321,New Hampshire,26,8/1/2019,8/1/2019,8/25/2019,y,y,1.863,6.69,4.827,0.0288,0,2,a
4322,New Hampshire,26,8/1/2019,8/1/2019,8/25/2019,y,y,1.521,6.39,4.869,0.0224,0,2,a
4323,New Hampshire,26,8/1/2019,8/1/2019,8/25/2019,y,y,1.828,5.76,3.932,0.02,0,2,a
4331,New Hampshire,26,8/1/2019,8/9/2019,9/2/2019,n,,1.559,,,,0,3,a
4332,New Hampshire,26,8/1/2019,8/1/2019,8/25/2019,y,y,1.807,6.38,4.573,0.0242,0,3,a
4333,New Hampshire,26,8/1/2019,8/1/2019,8/25/2019,y,y,1.275,5.92,4.645,0.0195,0,3,a
4611,North Carolina,26,7/29/2019,8/3/2019,8/27/2019,y,y,1.428,5.77,4.342,0.0196,0,1,a
4612,North Carolina,26,7/29/2019,8/3/2019,8/27/2019,y,y,1.945,5.96,4.015,0.0198,0,1,a
4613,North Carolina,26,7/29/2019,8/3/2019,8/27/2019,y,y,2.181,6.52,4.339,0.0257,0,1,a
4621,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.399,4.61,3.211,0.0104,0,2,a
4622,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,n,y,1.163,4.39,3.227,0.0078,0,2,a
4623,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.123,5.32,4.197,0.0157,0,2,a
4631,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.52,6.84,5.32,0.261,0,3,a
4632,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.471,6.45,4.979,0.0244,0,3,a
4633,North Carolina,26,7/29/2019,7/29/2019,8/22/2019,y,y,1.616,5.38,3.764,0.0149,0,3,a
4811,Georgia,26,7/30/2019,8/3/2019,8/27/2019,y,y,1.884,5.86,3.976,0.0201,0,1,a
4812,Georgia,26,7/30/2019,8/3/2019,8/27/2019,y,y,1.973,6.3,4.327,0.0258,0,1,a
4813,Georgia,26,7/30/2019,8/3/2019,8/27/2019,y,y,1.825,6.09,4.265,0.022,0,1,a
4821,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.375,5.05,3.675,0.014,0,2,a
4822,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.742,5.19,3.448,0.0137,0,2,a
4823,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.579,5.07,3.491,0.0153,0,2,a
4831,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.816,6.11,4.294,0.0239,0,3,a
4832,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.725,4.82,3.095,0.0126,0,3,a
4833,Georgia,26,7/30/2019,7/30/2019,8/23/2019,y,y,1.604,5.48,3.876,0.0195,0,3,a
5311,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,2.006,6.64,4.634,0.0266,0,1,a
5312,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.687,6.4,4.713,0.0249,1,1,a
5313,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.401,6.28,4.879,0.024,1,1,a
5321,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.286,6.01,4.724,0.0191,0,2,a
5322,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.569,6.6,5.031,0.0264,0,2,a
5323,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.344,6.09,4.746,0.0206,0,2,a
5331,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.683,6.73,5.047,0.0307,0,3,a
5332,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.376,7.09,5.714,0.0333,0,3,a
5333,New Hampshire,28,8/1/2019,8/1/2019,8/25/2019,y,y,1.843,7.07,5.227,0.031,1,3,a
5611,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.377,5.81,4.433,0.0184,0,1,a
5612,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.364,5.27,3.906,0.013,0,1,a
5613,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.558,6.1,4.542,0.0212,0,1,a
5621,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.443,5.87,4.427,0.02,0,2,a
5622,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.855,6.55,4.695,0.0268,1,2,a
5623,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.227,4.84,3.613,0.0113,0,2,a
5631,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.672,7,5.328,0.0323,0,3,a
5632,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.218,2.72,1.502,0.0019,0,3,a
5633,North Carolina,28,7/29/2019,7/29/2019,8/22/2019,y,y,1.443,5.95,4.507,0.0201,0,3,a
5811,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.483,5.01,3.527,0.0135,0,1,a
5812,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.521,5.54,4.019,0.0211,0,1,a
5813,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,,4.54,4.54,0.0118,1,1,a
5821,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.814,5.73,3.916,0.0198,0,2,a
5822,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.692,4.81,3.118,0.0125,0,2,a
5823,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.695,5.26,3.565,0.0163,0,2,a
5831,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.645,5.6,3.955,0.0191,1,3,a
5832,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.63,5.78,4.15,0.0208,0,3,a
5833,Georgia,28,7/30/2019,7/30/2019,8/23/2019,y,y,1.767,5.9,4.133,0.0242,0,3,a
6311,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.259,5.96,4.701,0.0205,0,1,a
6312,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,n,,1.418,,,,0,1,a
6313,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.62,5.9,4.28,0.0208,0,1,a
6321,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.464,6.76,5.296,0.0284,0,2,a
6322,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.543,6.52,4.977,0.0258,0,2,a
6323,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.658,6.59,4.932,0.0259,0,2,a
6331,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,n,,1.393,,,,0,3,a
6332,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.556,5.93,4.374,0.0189,0,3,a
6333,New Hampshire,30,8/1/2019,8/1/2019,8/25/2019,y,y,1.492,6.25,4.758,0.0197,0,3,a
6611,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.884,6.1,4.216,0.0247,1,1,a
6612,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.241,5.5,4.259,0.0171,0,1,a
6613,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.606,5.9,4.294,0.0204,0,1,a
6621,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.368,5.1,3.732,0.0138,0,2,a
6622,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.353,5.9,4.547,0.0195,0,2,a
6623,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.452,5.9,4.448,0.0214,0,2,a
6631,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.693,5,3.307,0.0143,1,3,a
6632,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.643,5.7,4.057,0.0183,1,3,a
6633,North Carolina,30,7/29/2019,7/29/2019,8/22/2019,y,y,1.553,5.5,3.947,0.018,0,3,a
6811,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.729,3.79,2.061,0.0072,0,1,a
6812,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.95,5.38,3.43,0.0179,0,1,a
6813,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.815,5.09,3.275,0.0159,0,1,a
6821,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.951,6.15,4.199,0.0229,0,2,a
6822,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.716,4.21,2.494,0.0081,0,2,a
6823,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.35,5.92,4.57,0.0185,0,2,a
6831,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.789,5.57,3.781,0.017,1,3,a
6832,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.424,5.4,3.976,0.0163,1,3,a
6833,Georgia,30,7/30/2019,7/30/2019,8/23/2019,y,y,1.733,4.37,2.637,0.0103,1,3,a
